kode_wilayah,nama_wilayah,level,kode_parent
1275020006,PANGKALAN MANSUR,desa,1275020
1275030,MEDAN AMPLAS,kecamatan,1275
1275030001,HARJOSARI II,desa,1275030
1275030002,SITIREJO II,desa,1275030
1275030003,SITIREJO III,desa,1275030
1275030004,HARJOSARI I,desa,1275030
1275030005,AMPLAS,desa,1275030
1275030006,TIMBANG DELI,desa,1275030
1275030007,BANGUN MULIA,desa,1275030
1275040,MEDAN DENAI,kecamatan,1275
1275040001,BINJAI,desa,1275040
1275040002,MEDAN TENGGARA,desa,1275040
1275040003,DENAI,desa,1275040
1275040004,TEGAL S MANDALA III,desa,1275040
1275040005,TEGAL S MANDALA II,desa,1275040
1275040006,TEGAL S MANDALA I,desa,1275040
1275050,MEDAN AREA,kecamatan,1275
1275050001,PASAR MERAH TIMUR,desa,1275050
1275050002,TEGAL SARI II,desa,1275050
1275050003,TEGAL SARI III,desa,1275050
1275050004,TEGAL SARI I,desa,1275050
1275050005,SUKARAMAI I,desa,1275050
1275050006,KOTA MATSUM II,desa,1275050
1275050007,KOTA MATSUM IV,desa,1275050
1275050008,KOTA MATSUM I,desa,1275050
1275050009,S. RENGAS PERMATA,desa,1275050
1275050010,SUKARAMAI II,desa,1275050
1275050011,SEI RENGAS II,desa,1275050
1275050012,PANDAU HULU II,desa,1275050
1275060,MEDAN KOTA,kecamatan,1275
1275060001,SITIREJO I,desa,1275060
1275060002,SUDIREJO II,desa,1275060
1275060003,SUDIREJO 1,desa,1275060
1275060004,TELADAN TIMUR,desa,1275060
1275060005,TELADAN BARAT,desa,1275060
1275060006,PASAR MERAH BARAT,desa,1275060
1275060007,MESJID,desa,1275060
1275060008,KOTAMATSUM III,desa,1275060
1275060009,SEI RENGAS I,desa,1275060
1275060010,PASAR BARU,desa,1275060
1275060011,PUSAT PASAR,desa,1275060
1275060012,PANDAU HULU I,desa,1275060
1275070,MEDAN MAIMUN,kecamatan,1275
1275070001,KAMPUNG BARU,desa,1275070
1275070002,SEI MATI,desa,1275070
1275070003,SUKARAJA,desa,1275070
1275070004,J A T I,desa,1275070
1275070005,HAMDAN,desa,1275070
1275070006,A U R,desa,1275070
1275080,MEDAN POLONIA,kecamatan,1275
1275080001,SARI REJO,desa,1275080
1275080002,SUKA DAMAI,desa,1275080
1275080003,POLONIA,desa,1275080
1275080004,ANGGRUNG,desa,1275080
1275080005,MADRAS HULU,desa,1275080
1275090,MEDAN BARU,kecamatan,1275
1275090001,TITI RANTE,desa,1275090
1275090002,PADANG BULAN,desa,1275090
1275090003,MERDEKA,desa,1275090
1275090004,DARAT,desa,1275090
1275090005,BABURA,desa,1275090
1275090006,PETISAH HULU,desa,1275090
1275100,MEDAN SELAYANG,kecamatan,1275
1275100001,SEMPAKATA,desa,1275100
1275100002,BERINGIN,desa,1275100
1275100003,P BULAN SELAYANG II,desa,1275100
1275100004,P BULAN SELAYANG I,desa,1275100
1275100005,TANJUNGSARI,desa,1275100
1275100006,ASAM KUMBANG,desa,1275100
1275110,MEDAN SUNGGAL,kecamatan,1275
1275110001,SUNGGAL,desa,1275110
1275110002,TANJUNG REJO,desa,1275110
1275110003,BABURA SUNGGAL,desa,1275110
1275110004,SIMPANG TANJUNG,desa,1275110
1275110005,SEI SIKAMBING B,desa,1275110
1275110006,LALANG,desa,1275110
1275120,MEDAN HELVETIA,kecamatan,1275
1275120001,CINTA DAMAI,desa,1275120
1275120002,SEI SIKAMBING C II,desa,1275120
1275120003,DWI KORA,desa,1275120
1275120004,HELVETIA TIMUR,desa,1275120
1275120005,HELVETIA TENGAH,desa,1275120
1275120006,HELVETIA,desa,1275120
1275120007,TANJUNG GUSTA,desa,1275120
1275130,MEDAN PETISAH,kecamatan,1275
1275130001,SEI SIKAMBING D,desa,1275130
1275130002,PETISAH TENGAH,desa,1275130
1275130003,SEKIP,desa,1275130
1275130004,SEI PUTIH TIMUR II,desa,1275130
1275130005,SEI PUTIH TIMUR I,desa,1275130
1275130006,SEI PUTIH TENGAH,desa,1275130
1275130007,SEI PUTIH BARAT,desa,1275130
1275140,MEDAN BARAT,kecamatan,1275
1275140001,KESAWAN,desa,1275140
1275140002,SILALAS,desa,1275140
1275140003,SEI AGUL,desa,1275140
1275140004,KARANG BEROMBAK,desa,1275140
1275140005,GLUGUR KOTA,desa,1275140
1275140006,PULO BERAYAN KOTA,desa,1275140
1275150,MEDAN TIMUR,kecamatan,1275
1275150001,GANG BUNTU,desa,1275150
1275150002,SIDODADI,desa,1275150
1275150003,PERINTIS,desa,1275150
1275150004,GAHARU,desa,1275150
1275150005,DURIAN,desa,1275150
1275150006,GLUGUR DARAT II,desa,1275150
1275150007,GLUGUR DARAT I,desa,1275150
1275150008,P BERAYAN DARAT I,desa,1275150
1275150009,P BERAYAN DARAT II,desa,1275150
1275150010,PB BENGKEL BARU,desa,1275150
1275150011,P BERAYAN BENGKEL,desa,1275150
1275160,MEDAN PERJUANGAN,kecamatan,1275
1275160001,PANDAU HILIR,desa,1275160
1275160002,SEI KERA HULU,desa,1275160
1275160003,PAHLAWAN,desa,1275160
1275160004,SEI KERA HILIR I,desa,1275160
1275160005,SEI KERA HILIR II,desa,1275160
1275160006,SIDORAME TIMUR,desa,1275160
1275160007,SIDORAME BARAT II,desa,1275160
1275160008,SIDORAME BARAT I,desa,1275160
1275160009,TEGALREJO,desa,1275160
1275170,MEDAN TEMBUNG,kecamatan,1275
1275170001,INDRA KASIH,desa,1275170
1275170002,SIDOREJO HILIR,desa,1275170
1275170003,SIDOREJO,desa,1275170
1275170004,BANTAN TIMUR,desa,1275170
1275170005,BANDAR SELAMAT,desa,1275170
1275170006,BANTAN,desa,1275170
1275170007,TEMBUNG,desa,1275170
1275180,MEDAN DELI,kecamatan,1275
1275180001,TANJUNG MULYA,desa,1275180
1275180002,TANJUNG MULIA HILIR,desa,1275180
1275180003,MABAR HILIR,desa,1275180
1275180004,MABAR,desa,1275180
1275180005,KOTA BANGUN,desa,1275180
1275180006,TITIPAPAN,desa,1275180
1275190,MEDAN LABUHAN,kecamatan,1275
1275190001,BESAR,desa,1275190
1275190002,TANGKAHAN,desa,1275190
1275190003,MARTUBUNG,desa,1275190
1275190004,SEI MATI,desa,1275190
1275190005,PEKAN LABUHAN,desa,1275190
1275190006,NELAYAN INDAH,desa,1275190
1275200,MEDAN MARELAN,kecamatan,1275
1275200001,TANAH ENAM RATUS,desa,1275200
1275200002,RENGAS PULAU,desa,1275200
1275200003,TERJUN,desa,1275200
1275200004,PAYA PASIR,desa,1275200
1275200005,LABUHAN DELI,desa,1275200
1275210,MEDAN BELAWAN,kecamatan,1275
1275210001,BELAWAN SICANANG,desa,1275210
1275210002,BELAWAN BAHAGIA,desa,1275210
1275210003,BELAWAN BAHARI,desa,1275210
1275210004,BELAWAN II,desa,1275210
1275210005,BAGAN DELI,desa,1275210
1275210006,BELAWAN I,desa,1275210
1276,BINJAI,kota,12
1276010,BINJAI SELATAN,kecamatan,1276
1276010001,TANAH MERAH,desa,1276010
1276010002,BHAKTI KARYA,desa,1276010
1276010003,TANAH SERIBU,desa,1276010
1276010004,PUJIDADI,desa,1276010
1276010005,BINJAI ESTATE,desa,1276010
1276010006,RAMBUNG BARAT,desa,1276010
1276010007,RAMBUNG DALAM,desa,1276010
1276010008,RAMBUNG TIMUR,desa,1276010
1276020,BINJAI KOTA,kecamatan,1276
1276020001,BERNGAM,desa,1276020
1276020002,SATRIA,desa,1276020
1276020003,SETIA,desa,1276020
1276020004,KARTINI,desa,1276020
1276020005,TANGSI,desa,1276020
1276020006,BINJAI,desa,1276020
1276020007,PEKAN BINJAI,desa,1276020
1276030,BINJAI TIMUR,kecamatan,1276
1276030001,MENCIRIM,desa,1276030
1276030002,TUNGGURONO,desa,1276030
1276030003,DATARAN TINGGI,desa,1276030
1276030004,TIMBANG LANGKAT,desa,1276030
1276030005,TANAH TINGGI,desa,1276030
1276030006,SUMBER MULYOREJO,desa,1276030
1276030007,SUMBER KARYA,desa,1276030
1276040,BINJAI UTARA,kecamatan,1276
1276040001,PAHLAWAN,desa,1276040
1276040002,JATI NEGARA,desa,1276040
1276040003,NANGKA,desa,1276040
1276040004,JATI MAKMUR,desa,1276040
1276040005,DAMAI,desa,1276040
1276040006,KEBUN LADA,desa,1276040
1276040007,CENGKEH TURI,desa,1276040
1276040008,JATI KARYA,desa,1276040
1276040009,JATI UTOMO,desa,1276040
1276050,BINJAI BARAT,kecamatan,1276
1276050001,BANDAR SENEMBAH,desa,1276050
1276050002,LIMAU MUNGKUR,desa,1276050
1276050003,LIMAU SUNDAI,desa,1276050
1276050004,PAYA ROBA,desa,1276050
1276050005,SUKA MAJU,desa,1276050
1276050006,SUKARAMAI,desa,1276050
1277,PADANGSIDIMPUAN,kota,12
1277010,PADANGSIDIMPUAN TENGGARA,kecamatan,1277
1277010001,SIHITANG,desa,1277010
1277010002,PALOPAT PIJOR KOLING,desa,1277010
1277010003,SALAMBUE,desa,1277010
1277010004,SIGULANG,desa,1277010
1277010005,HUTA KOJE,desa,1277010
1277010006,HUTALIMBONG,desa,1277010
1277010007,HUTA PADANG,desa,1277010
1277010008,PIJOR KOLING,desa,1277010
1277010009,GOTI,desa,1277010
1277010010,MANEGEN,desa,1277010
1277010011,MANUNGGANG JAE,desa,1277010
1277010012,LABUHAN RASOKI,desa,1277010
1277010013,PURBATUA PIJOR KOLING,desa,1277010
1277010014,MANUNGGANG JULU,desa,1277010
1277010015,TARUTUNG BARU,desa,1277010
1277010016,HUTA LOMBANG,desa,1277010
1277010017,PERKEBUNAN PIJOR KOLING,desa,1277010
1277010018,LABUHAN LABO,desa,1277010
1277020,PADANGSIDIMPUAN SELATAN,kecamatan,1277
1277020001,HANOPAN,desa,1277020
1277020002,SIDANGKAL,desa,1277020
1277020003,WEK VI,desa,1277020
1277020004,UJUNG PADANG,desa,1277020
1277020005,AEK TAMPANG,desa,1277020
1277020006,PADANG MATINGGI,desa,1277020
1277020007,SILANDIT,desa,1277020
1277020008,WEK V,desa,1277020
1277020009,SITAMIANG,desa,1277020
1277020010,LOSUNG,desa,1277020
1277020011,PADANG MATINGGI  LESTARI,desa,1277020
1277020012,SITAMIANG BARU,desa,1277020
1277030,PADANGSIDIMPUAN BATUNADUA,kecamatan,1277
1277030005,PURWODADI,desa,1277030
1277030006,GUNUNG HASAHATAN,desa,1277030
1277030007,UJUNGGURAP,desa,1277030
1277030008,BARUAS,desa,1277030
1277030009,AEK BAYUR,desa,1277030
1277030010,AEK TUHUL,desa,1277030
1277030011,PUDUN JAE,desa,1277030
1277030012,PUDUN JULU,desa,1277030
1277030013,SILOTING,desa,1277030
1277030014,BATANG BAHAL,desa,1277030
1277030015,AEK NAJAJI,desa,1277030
1277030016,BARGOTTOPONG,desa,1277030
1277030017,SIMIRIK,desa,1277030
1277030018,BATUNADUA JAE,desa,1277030
1277030019,BATUNADUA JULU,desa,1277030
1277040,PADANGSIDIMPUAN UTARA,kecamatan,1277
1277040001,WEK IV,desa,1277040
1277040002,WEK III,desa,1277040
1277040003,WEK II,desa,1277040
1277040004,WEK I,desa,1277040
1277040005,BATANG AYUMI JULU,desa,1277040
1277040006,BATANG AYUMI JAE,desa,1277040
1277040007,TOBAT,desa,1277040
1277040008,TANOBATO,desa,1277040
1277040009,BONAN DOLOK,desa,1277040
1277040010,SADABUAN,desa,1277040
1277040011,PANYANGGAR,desa,1277040
1277040012,LOSUNG BATU.,desa,1277040
1277040013,KANTIN,desa,1277040
1277040014,BINCAR,desa,1277040
1277040015,TIMBANGAN,desa,1277040
1277040016,KAYU OMBUN,desa,1277040
1277050,PADANGSIDIMPUAN HUTAIMBARU,kecamatan,1277
1277050001,PARTIHAMAN SAROHA,desa,1277050
1277050002,HUTAIMBARU,desa,1277050
1277050003,PALOPAT MARIA,desa,1277050
1277050004,SABUNGAN JAE,desa,1277050
1277050005,LEMBAH LUBUK MANIK,desa,1277050
1277050006,SABUNGAN SIPABANGUN,desa,1277050
1277050007,SINGALI,desa,1277050
1277050008,HUTA PADANG,desa,1277050
1277050009,LUBUK RAYA,desa,1277050
1277050010,TINJOMAN LAMA,desa,1277050
1277051,PADANGSIDIMPUAN ANGKOLA JULU,kecamatan,1277
1277051001,SIMATOHIR,desa,1277051
